[root@66-116-196-192 AutoCarV8]# pm2 logs --lines 200
[TAILING] Tailing last 200 lines for [all] processes (change the value with --lines option)
/root/.pm2/pm2.log last 200 lines:
PM2        | 2025-10-28T12:36:09: PM2 log: App [autocarv5:0] exited with code [1] via signal [SIGINT]
0|autocarv |   keyPattern: { warrantyNumber: 1 },
0|autocarv |   keyValue: { warrantyNumber: 'WRT/2025/0051' }
0|autocarv | }
0|autocarv | ❌ Warranty creation error: MongoServerError: E11000 duplicate key error collection: test.warranties index: warrantyNumber_1 dup key: { warrantyNumber: "WRT/2025/0052" }
0|autocarv |     at InsertOneOperation.handleOk (/var/www/AutoCarV8/node_modules/mongodb/lib/operations/insert.js:51:19)
0|autocarv |     at tryOperation (/var/www/AutoCarV8/node_modules/mongodb/lib/operations/execute_operation.js:214:34)
0|autocarv |     at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
0|autocarv |     at async executeOperation (/var/www/AutoCarV8/node_modules/mongodb/lib/operations/execute_operation.js:78:16)
0|autocarv |     at async Collection.insertOne (/var/www/AutoCarV8/node_modules/mongodb/lib/collection.js:154:16) {
0|autocarv |   errorLabelSet: Set(0) {},
0|autocarv |   errorResponse: {
0|autocarv |     index: 0,
0|autocarv |     code: 11000,
0|autocarv |     errmsg: 'E11000 duplicate key error collection: test.warranties index: warrantyNumber_1 dup key: { warrantyNumber: "WRT/2025/0052" }',
0|autocarv |     keyPattern: { warrantyNumber: 1 },
0|autocarv |     keyValue: { warrantyNumber: 'WRT/2025/0052' }
0|autocarv |   },
0|autocarv |   index: 0,
0|autocarv |   code: 11000,
0|autocarv |   keyPattern: { warrantyNumber: 1 },
0|autocarv |   keyValue: { warrantyNumber: 'WRT/2025/0052' }
0|autocarv | }
0|autocarv | PDF download error: CastError: Cast to ObjectId failed for value "[ID]" (type string) at path "_id" for model "Invoice"
0|autocarv |     at SchemaObjectId.cast (/var/www/AutoCarV8/node_modules/mongoose/lib/schema/objectId.js:251:11)
0|autocarv |     at SchemaType.applySetters (/var/www/AutoCarV8/node_modules/mongoose/lib/schemaType.js:1259:12)
0|autocarv |     at SchemaType.castForQuery (/var/www/AutoCarV8/node_modules/mongoose/lib/schemaType.js:1695:17)
0|autocarv |     at cast (/var/www/AutoCarV8/node_modules/mongoose/lib/cast.js:390:32)
0|autocarv |     at Query.cast (/var/www/AutoCarV8/node_modules/mongoose/lib/query.js:5060:12)
0|autocarv |     at Query._castConditions (/var/www/AutoCarV8/node_modules/mongoose/lib/query.js:2374:10)
0|autocarv |     at model.Query._findOne (/var/www/AutoCarV8/node_modules/mongoose/lib/query.js:2697:8)
0|autocarv |     at model.Query.exec (/var/www/AutoCarV8/node_modules/mongoose/lib/query.js:4627:80)
0|autocarv |     at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
0|autocarv |     at async file:///var/www/AutoCarV8/dist/index.js:7045:23 {
0|autocarv |   stringValue: '"[ID]"',
0|autocarv |   messageFormat: undefined,
0|autocarv |   kind: 'ObjectId',
0|autocarv |   value: '[ID]',
0|autocarv |   path: '_id',
0|autocarv |   reason: BSONError: input must be a 24 character hex string, 12 byte Uint8Array, or an integer
0|autocarv |       at new ObjectId (/var/www/AutoCarV8/node_modules/bson/lib/bson.cjs:2538:23)
0|autocarv |       at castObjectId (/var/www/AutoCarV8/node_modules/mongoose/lib/cast/objectid.js:25:12)
0|autocarv |       at SchemaObjectId.cast (/var/www/AutoCarV8/node_modules/mongoose/lib/schema/objectId.js:249:12)
0|autocarv |       at SchemaType.applySetters (/var/www/AutoCarV8/node_modules/mongoose/lib/schemaType.js:1259:12)
0|autocarv |       at SchemaType.castForQuery (/var/www/AutoCarV8/node_modules/mongoose/lib/schemaType.js:1695:17)
0|autocarv |       at cast (/var/www/AutoCarV8/node_modules/mongoose/lib/cast.js:390:32)
0|autocarv |       at Query.cast (/var/www/AutoCarV8/node_modules/mongoose/lib/query.js:5060:12)
0|autocarv |       at Query._castConditions (/var/www/AutoCarV8/node_modules/mongoose/lib/query.js:2374:10)
0|autocarv |       at model.Query._findOne (/var/www/AutoCarV8/node_modules/mongoose/lib/query.js:2697:8)
0|autocarv |       at model.Query.exec (/var/www/AutoCarV8/node_modules/mongoose/lib/query.js:4627:80),
0|autocarv |   valueType: 'string'
0|autocarv | }
0|autocarv | ❌ Warranty creation error: MongoServerError: E11000 duplicate key error collection: test.warranties index: warrantyNumber_1 dup key: { warrantyNumber: "WRT/2025/0053" }
0|autocarv |     at InsertOneOperation.handleOk (/var/www/AutoCarV8/node_modules/mongodb/lib/operations/insert.js:51:19)
0|autocarv |     at tryOperation (/var/www/AutoCarV8/node_modules/mongodb/lib/operations/execute_operation.js:214:34)
0|autocarv |     at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
0|autocarv |     at async executeOperation (/var/www/AutoCarV8/node_modules/mongodb/lib/operations/execute_operation.js:78:16)
0|autocarv |     at async Collection.insertOne (/var/www/AutoCarV8/node_modules/mongodb/lib/collection.js:154:16) {
0|autocarv |   errorLabelSet: Set(0) {},
0|autocarv |   errorResponse: {
0|autocarv |     index: 0,
0|autocarv |     code: 11000,
0|autocarv |     errmsg: 'E11000 duplicate key error collection: test.warranties index: warrantyNumber_1 dup key: { warrantyNumber: "WRT/2025/0053" }',
0|autocarv |     keyPattern: { warrantyNumber: 1 },
0|autocarv |     keyValue: { warrantyNumber: 'WRT/2025/0053' }
0|autocarv |   },
0|autocarv |   index: 0,
0|autocarv |   code: 11000,
0|autocarv |   keyPattern: { warrantyNumber: 1 },
0|autocarv |   keyValue: { warrantyNumber: 'WRT/2025/0053' }
0|autocarv | }

/root/.pm2/logs/autocarv7-out-0.log last 200 lines:
0|autocarv |   vehicleId: 'VEH056',
0|autocarv |   selectedPartsCount: 2,
0|autocarv |   selectedParts: [ 'front-bumper', 'side-step' ]
0|autocarv | }
0|autocarv |   🔹 Part ID "front-bumper" -> Name: "Front Bumper Guard"
0|autocarv |   🔹 Part ID "side-step" -> Name: "Side Step"
0|autocarv | 📝 Resolved Part Names: [ 'Front Bumper Guard', 'Side Step' ]
0|autocarv |
0|autocarv | 🔍 Using exact, case-sensitive name matching
0|autocarv | Looking for exact matches of: [ 'Front Bumper Guard', 'Side Step' ]
0|autocarv | ✅ Found 2 products with exact name matches
0|autocarv | Matched products: [ 'Front Bumper Guard', 'Side Step' ]
0|autocarv |
0|autocarv | ✅ Final Product Search Results:
0|autocarv |   Total products found: 2
0|autocarv |   Product details: [
0|autocarv |   { name: 'Front Bumper Guard', category: 'Exterior', price: 1500 },
0|autocarv |   { name: 'Side Step', category: 'Exterior', price: 3000 }
0|autocarv | ]
0|autocarv | 🎯 Returning 2 suggested products
0|autocarv | ========================================
0|autocarv |
0|autocarv | 11:00:21 AM [express] GET /api/service-visits/6906394c2ae9f51b0c78fb9c/suggested-products 304 in 22ms…
0|autocarv | 11:00:24 AM [express] POST /api/invoices/from-service-visit 200 in 42ms :: {"serviceVisitId":"6906394…
0|autocarv |
0|autocarv | ========================================
0|autocarv | 🔍 SUGGESTED PRODUCTS API - START
0|autocarv | ========================================
0|autocarv | 📋 Service Visit Info: {
0|autocarv |   id: new ObjectId('6906394c2ae9f51b0c78fb9c'),
0|autocarv |   vehicleReg: 'VEH056',
0|autocarv |   customerId: new ObjectId('690639282ae9f51b0c78fb8f'),
0|autocarv |   partsUsedCount: 0
0|autocarv | }
0|autocarv | 🔄 No partsUsed, falling back to vehicle selectedParts
0|autocarv | 🚗 Vehicle Lookup: {
0|autocarv |   vehicleReg: 'VEH056',
0|autocarv |   customerId: '690639282ae9f51b0c78fb8f',
0|autocarv |   vehicleFound: true,
0|autocarv |   vehicleNumber: undefined,
0|autocarv |   vehicleId: 'VEH056',
0|autocarv |   selectedPartsCount: 2,
0|autocarv |   selectedParts: [ 'front-bumper', 'side-step' ]
0|autocarv | }
0|autocarv |   🔹 Part ID "front-bumper" -> Name: "Front Bumper Guard"
0|autocarv |   🔹 Part ID "side-step" -> Name: "Side Step"
0|autocarv | 📝 Resolved Part Names: [ 'Front Bumper Guard', 'Side Step' ]
0|autocarv |
0|autocarv | 🔍 Using exact, case-sensitive name matching
0|autocarv | Looking for exact matches of: [ 'Front Bumper Guard', 'Side Step' ]
0|autocarv | 11:00:24 AM [express] GET /api/service-visits 304 in 19ms :: [{"stageTimestamps":{"inquired":"2025-11…
0|autocarv | ✅ Found 2 products with exact name matches
0|autocarv | Matched products: [ 'Front Bumper Guard', 'Side Step' ]
0|autocarv |
0|autocarv | ✅ Final Product Search Results:
0|autocarv |   Total products found: 2
0|autocarv |   Product details: [
0|autocarv |   { name: 'Front Bumper Guard', category: 'Exterior', price: 1500 },
0|autocarv |   { name: 'Side Step', category: 'Exterior', price: 3000 }
0|autocarv | ]
0|autocarv | 🎯 Returning 2 suggested products
0|autocarv | ========================================
0|autocarv |
0|autocarv | 11:00:24 AM [express] GET /api/service-visits/6906394c2ae9f51b0c78fb9c/suggested-products 304 in 19ms…
0|autocarv | 11:00:27 AM [express] GET /api/invoices 200 in 25ms :: [{"_id":"69063ca87e532d3b9c17df80","serviceVis…
0|autocarv |
0|autocarv | ================================================================================
0|autocarv | 🔄 STARTING INVOICE APPROVAL PROCESS
0|autocarv | ================================================================================
0|autocarv | 📋 Request Details:
0|autocarv |    Invoice ID: 69063ca87e532d3b9c17df80
0|autocarv |    User ID: 68fb45e570480971a020cccf
0|autocarv |    User Name: Aniket Rane
0|autocarv |    User Role: Admin
0|autocarv |    Request IP: 127.0.0.1
0|autocarv | ✅ Invoice found:
0|autocarv |    Invoice Number: INV/2025/0005
0|autocarv |    Current Status: pending_approval
0|autocarv |    Customer: ANIKET
0|autocarv |    Customer Phone: 7507219775
0|autocarv |    Total Amount: ₹ 4500
0|autocarv | 📝 Updating invoice status to "approved"...
0|autocarv | 🔐 Generating secure PDF access token...
0|autocarv |    Token generated: dc5885afeb37...
0|autocarv |    Token expires: 2025-11-08T18:00:38.412Z
0|autocarv | 💾 Saving invoice to database...
0|autocarv | ✅ Invoice saved successfully
0|autocarv | 📄 Starting PDF generation...
0|autocarv |    PDF Data prepared, generating file...
0|autocarv | ✅ PDF generated and saved to: /var/www/AutoCarV8/invoices/invoice_INV_2025_0005.pdf
0|autocarv | 🛡️ Creating warranties for items with warranty...
0|autocarv | 📤 Sending WhatsApp and Email notifications...
0|autocarv |    Environment check:
0|autocarv |    - APP_URL: https://crm.maulicardecor.com
0|autocarv |    - REPLIT_DEV_DOMAIN: NOT SET
0|autocarv |    - NODE_ENV: production
0|autocarv | 📄 Generating invoice PDF...
0|autocarv |    Invoice: INV/2025/0005
0|autocarv |    Invoice ID: new ObjectId('69063ca87e532d3b9c17df80')
0|autocarv |    Using APP_URL: https://crm.maulicardecor.com
0|autocarv | ✅ PDF generated successfully
0|autocarv |    Local path: /var/www/AutoCarV8/invoices/invoice_INV_2025_0005.pdf
0|autocarv |    Public URL: https://crm.maulicardecor.com/api/public/invoices/69063ca87e532d3b9c17df80/pdf?token=dc5885afeb37398b78ff8d7d52f1f8f005cff9cde22fe644640ac6b30844c355
0|autocarv |    Access Token: dc5885afeb37...
0|autocarv |    Token expires: 2025-11-08T18:00:38.412Z
0|autocarv |    Current time: 2025-11-01T17:00:38.491Z
0|autocarv |    Token valid: ✅ Yes
0|autocarv | 📧 [STUB] Sending invoice email...
0|autocarv |    To: raneaniket23@gmail.com
0|autocarv |    Invoice: INV/2025/0005
0|autocarv |    Amount: ₹ 4500
0|autocarv |    PDF URL: https://crm.maulicardecor.com/api/public/invoices/69063ca87e532d3b9c17df80/pdf?token=dc5885afeb37398b78ff8d7d52f1f8f005cff9cde22fe644640ac6b30844c355
0|autocarv | ✅ [STUB] Email sent successfully
0|autocarv | 🔒 WhatsApp send flag set to true and persisted (prevents duplicates)
0|autocarv | 📱 Sending invoice via WhatsApp...
0|autocarv |    To: 7507219775
0|autocarv |    Customer: ANIKET
0|autocarv |    Invoice: INV/2025/0005
0|autocarv |    Service: Service +1 more
0|autocarv |    Amount: ₹ 4,500
0|autocarv |    PDF URL: https://crm.maulicardecor.com/api/public/invoices/69063ca87e532d3b9c17df80/pdf?token=dc5885afeb37398b78ff8d7d52f1f8f005cff9cde22fe644640ac6b30844c355
0|autocarv |
0|autocarv | 📱 Sending WhatsApp Invoice Template with PDF
0|autocarv | ================================
0|autocarv | API URL: https://cloudapi.akst.in/api/v1.0/messages/send-template/919970127778
0|autocarv | API Key: 7RlFwj57...
0|autocarv | Channel Number: 919970127778
0|autocarv | Template Name: invoicetest1
0|autocarv | To (Original): 7507219775
0|autocarv | To (Formatted): 917507219775
0|autocarv | Customer Name: ANIKET
0|autocarv | Invoice Number: INV/2025/0005
0|autocarv | Service: Service +1 more
0|autocarv | Total Amount: ₹4,500
0|autocarv | PDF URL: https://crm.maulicardecor.com/api/public/invoices/69063ca87e532d3b9c17df80/pdf?token=dc5885afeb37398b78ff8d7d52f1f8f005cff9cde22fe644640ac6b30844c355
0|autocarv | ================================
0|autocarv |
0|autocarv | Request Payload: {
0|autocarv |   "messaging_product": "whatsapp",
0|autocarv |   "recipient_type": "individual",
0|autocarv |   "to": "917507219775",
0|autocarv |   "type": "template",
0|autocarv |   "template": {
0|autocarv |     "name": "invoicetest1",
0|autocarv |     "language": {
0|autocarv |       "code": "en"
0|autocarv |     },
0|autocarv |     "components": [
0|autocarv |       {
0|autocarv |         "type": "header",
0|autocarv |         "parameters": [
0|autocarv |           {
0|autocarv |             "type": "document",
0|autocarv |             "document": {
0|autocarv |               "link": "https://crm.maulicardecor.com/api/public/invoices/69063ca87e532d3b9c17df80/pdf?token=dc5885afeb37398b78ff8d7d52f1f8f005cff9cde22fe644640ac6b30844c355",
0|autocarv |               "caption": "",
0|autocarv |               "filename": "Invoice_INV_2025_0005.pdf"
0|autocarv |             }
0|autocarv |           }
0|autocarv |         ]
0|autocarv |       }
0|autocarv |     ]
0|autocarv |   }
0|autocarv | }
0|autocarv |
0|autocarv | 📥 WhatsApp Invoice API Response (123ms)
0|autocarv | ================================
0|autocarv | HTTP Status: 200
0|autocarv | Response Data: {
0|autocarv |   "success": true,
0|autocarv |   "statusDesc": "Message Sent Successfully.",
0|autocarv |   "statusCode": 0,
0|autocarv |   "data": [
0|autocarv |     {
0|autocarv |       "Number": "917507219775",
0|autocarv |       "MaskId": "Vwf3B1Kx5UWDjAC3bYhb0g"
0|autocarv |     }
0|autocarv |   ]
0|autocarv | }
0|autocarv | ================================
0|autocarv |
0|autocarv | ✅ WhatsApp API reported SUCCESS
0|autocarv |    Status Description: Message Sent Successfully.
0|autocarv |    Message ID: Not provided
0|autocarv | ✅ WhatsApp invoice sent successfully
0|autocarv | 📨 Notifications summary:
0|autocarv |    Email: ✅
0|autocarv |    WhatsApp: ✅
0|autocarv | ✅ Notifications sent successfully
0|autocarv | 📊 Logging activity...
0|autocarv | ✅ Activity logged successfully
0|autocarv | ================================================================================
0|autocarv | ✅ INVOICE APPROVAL PROCESS COMPLETED SUCCESSFULLY
0|autocarv |    Invoice Number: INV/2025/0005
0|autocarv |    Status: approved
0|autocarv |    Total Amount: ₹ 4500
0|autocarv | ================================================================================
0|autocarv |
0|autocarv | 11:00:38 AM [express] POST /api/invoices/69063ca87e532d3b9c17df80/approve 200 in 342ms :: {"approvalS…
0|autocarv | 11:00:38 AM [express] GET /api/invoices 200 in 24ms :: [{"_id":"69063ca87e532d3b9c17df80","serviceVis…

0|autocarv7  | 11:01:29 AM [express] GET /api/public/invoices/69063ca87e532d3b9c17df80/pdf 200 in 13ms

